[FAIL 1] built-ins/Date/prototype/getUTCMilliseconds/this-value-valid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCMilliseconds__this-value-valid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A6_T5.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A6_T5.js: TypeError: is not a function
[FAIL 1] built-ins/SuppressedError/message-method-prop-cast.js | Exception in /tmp/repro_built-ins__SuppressedError__message-method-prop-cast.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/setTime/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__setTime__prop-desc.js: obj should have an own property setTime
[FAIL 1] built-ins/Array/prototype/slice/create-species-abrupt.js | Exception in /tmp/repro_built-ins__Array__prototype__slice__create-species-abrupt.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/prototype/S15.9.5_A19_T1.js | Exception in /tmp/repro_built-ins__Date__prototype__S15.9.5_A19_T1.js: TypeError: is not a function
[FAIL 1] built-ins/SetIteratorPrototype/next/this-not-object-throw-entries.js | Exception in /tmp/repro_built-ins__SetIteratorPrototype__next__this-not-object-throw-entries.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/allSettled/resolve-element-function-name.js | Exception in /tmp/repro_built-ins__Promise__allSettled__resolve-element-function-name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Date/prototype/setHours/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__prop-desc.js: obj should have an own property setHours
[FAIL 1] built-ins/Function/prototype/call/name.js | Exception in /tmp/repro_built-ins__Function__prototype__call__name.js: obj should have an own property name
[FAIL 1] built-ins/Object/prototype/__defineSetter__/define-non-configurable.js | Exception in /tmp/repro_built-ins__Object__prototype____defineSetter____define-non-configurable.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Function/15.3.5.4_2-10gs.js | Exception in /tmp/repro_built-ins__Function__15.3.5.4_2-10gs.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/prototype/__defineSetter__/this-non-obj.js | Exception in /tmp/repro_built-ins__Object__prototype____defineSetter____this-non-obj.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-12.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-12.js: testResult !== true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-226.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-226.js: obj['0'] descriptor should not be writable
[FAIL 1] built-ins/NativeErrors/TypeError/proto-from-ctor-realm.js | Exception in /tmp/repro_built-ins__NativeErrors__TypeError__proto-from-ctor-realm.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Promise/allSettled/resolve-from-same-thenable.js | Exception in /tmp/repro_built-ins__Promise__allSettled__resolve-from-same-thenable.js: TypeError: is not a function
[FAIL 1] built-ins/Function/S15.3.2.1_A1_T5.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A1_T5.js: #1: test failed with error TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/getMonth/length.js | Exception in /tmp/repro_built-ins__Date__prototype__getMonth__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-43-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-43-1.js: accessed !== true
[FAIL 1] built-ins/Promise/prototype/finally/resolved-observable-then-calls-argument.js | Exception in /tmp/repro_built-ins__Promise__prototype__finally__resolved-observable-then-calls-argument.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-13.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-13.js: testResult !== true
[FAIL 1] built-ins/Date/prototype/setHours/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Array/prototype/findIndex/resizable-buffer-shrink-mid-iteration.js | Exception in /tmp/repro_built-ins__Array__prototype__findIndex__resizable-buffer-shrink-mid-iteration.js: TypeError: Array.prototype.map callback is not a function
[FAIL 1] built-ins/Date/prototype/getMinutes/this-value-invalid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getMinutes__this-value-invalid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-b-ii-2.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-b-ii-2.js: [undefined].indexOf() Expected SameValue(«-1», «0») to be true
[FAIL 1] built-ins/Array/prototype/push/throws-if-integer-limit-exceeded.js | Exception in /tmp/repro_built-ins__Array__prototype__push__throws-if-integer-limit-exceeded.js: Length is 2**53 - 1 Expected a TypeError to be thrown but no exception was thrown at all
